English, Tamil
sauti said, சௌதி சொன்னார்
the nagas after consultation arrived at the conclusion that they should do their mothers bidding, தாயின் கத்ருவின் ஆசை நிராசையானால்
for she failed in obtaining her desire she might withdraw her affection and burn them all, அவள் தங்கள் மீது வைத்திருக்கும் பாசத்தைத் துறந்து தங்களை எரித்துவிடுவாளோ என்ற பயத்தில்
on the other hand, பாம்புகள் தங்களுக்குள் கலந்து பேசி
she were graciously inclined, அவளது ஆணையை நிறைவேற்றுவது என்று முடிவு செய்தனர்
she might free them from her curse, மற்றொருபுறம்
they said, அவள் கருணை தங்களுக்குக் கிடைக்குமானால்
we will certainly render the horses tail black, தங்களைச் சாபத்திலிருந்து விடுவிப்பாள் என்ற எண்ணத்தில்
and it is said that they then went and became hairs in the horses tail, நாம் நிச்சயமாகக் குதிரையின் வாலைக் கருப்பாக்குவோம் என்றனர்
now the two co-wives had laid the wager, பிறகு அந்தப் பாம்புகள் சென்று குதிரையின் வாலின் முடிகளாக மாறினர் என்று சொல்லப்படுகிறது
and having laid the wager, பந்தயம் கட்டிக்கொண்ட அந்தச் சக்களத்திகளும் கசியபரின் மனைவிகள்
o best of brahmanas, ஓ பிராமணர்களில் சிறந்தவரே
the two sisters kadru and vinata, தக்ஷனின் மகள்களும்
the daughters of daksha, சகோதரிகளுமான கத்ரு மற்றும் வினதை ஆகிய இருவரும்
proceeded in great delight along the sky to see the other side of the ocean, கடலின் அக்கரையைக் காண வான் வெளியில் மகிழ்ச்சியுடன் விரைந்தனர்
and on their way they saw the ocean, அப்படிச் செல்லும்போது
that receptacle of waters, எளிதாகக் கலங்கடிக்கப்பட முடியாததான அந்த நீர்ப்பாத்திரமானது
incapable of being easily disturbed, திடீரென்று வலிமைமிகுந்த காற்றால் அசைக்கப்பட்டுப் பேரொலியுடன் கர்ஜிப்பதைக் கண்டனர்
mightily agitated all of a sudden by the wind, திமிங்கலங்களையே விழுங்கும் பெரிய மீன்கள்
and roaring tremendously, மகரங்கள்
abounding with fishes capable of swallowing the whale and full of makaras, ஆயிரக்கணக்கான வெவ்வெறு வடிவங்களிலாலான பல்வேறு உயிரிகளுடன்
containing also creatures of diverse forms counted by thousands, கொடுமையான பெரும் விலங்குகளுடன் அச்சத்தைத் தருவதாக
frightful from the presence of horrible monsters, அணுக முடியாத ஆழத்தோடு பயங்கரமாக
inaccessible, எல்லா வகையான ரத்தினங்களின் சுரங்கமாக
deep, வருணனின் நீர் கடவுள் இல்லமாக
and terrible, நாகர்களின் வசிப்பிடமாக
the mine of all kinds of gems, ஆறுகள் அனைத்திற்கும் அரசனாக
the home of varuna the water-god, பூமிக்கடியில் உள்ள நெருப்பின் இருப்பிடமாக
the wonderful habitations of the nagas, அசுரர்களுக்கு வசிப்பிடமாக
the lord of rivers, எல்லாப் பயங்கரமான உயிரினங்களுக்கும் இருப்பிடமாக
the abode of the subterranean fire, நீர்க்களஞ்சியமாக
the residence of the asuras and of many dreadful creatures, அழுகுதலில்லாமல் கெடாமல் நறுமணம் மிக்கதாக
the reservoir of water, அற்புதமானதாக
not subject to decay, தேவர்களுடைய அமுதத்தின் ஊற்றாக
aromatic, அளக்கமுடியாததாக
and wonderful, புத்திக்கு எட்டாததாக
the great source of the amrita of the celestials, புனிதமான நீரைக் கொண்டதாக
immeasurable and inconceivable, ஆயிரக்கணக்கான பெரிய ஆறுகளின் நீரினால் விளிம்பு வரை நிறைந்திருந்ததாக
containing waters that are holy, அலைகள் நாட்டியமாடிக்கொண்டிருந்த
filled to the brim by many thousands of great rivers, கடலை அவர்கள் கண்டனர்
dancing as it were in waves, புரளும் அலைகளுடன் விண்ணைப் போல் பெரும்பரப்புக் கொண்டதாக
such was the ocean, ஆழமானதாக
full of rolling waves, பூமிக்கடியில் உள்ள நெருப்பினால் சுடர்மேனி கொண்டதாக
vast as the expanse of the sky, பூமிக்கடியில் உள்ள நெருப்பினால் சுடர்மேனி கொண்டதாக
deep, கர்ஜனை செய்வதாக இருந்த அந்தக் கடலைச் சகோதரிகள் இருவரும் கத்ருவும்
of body lighted with the flames of subterranean fire, கர்ஜனை செய்வதாக இருந்த அந்தக் கடலைச் சகோதரிகள் இருவரும் கத்ருவும்
and roaring, வினதையும் வேகமாகக் கடந்தனர் என்றார் சௌதி
which the sisters quickly passed over, வினதையும் வேகமாகக் கடந்தனர் என்றார் சௌதி
sauti said, சௌதி சொன்னார் கடலைக் கடந்ததும்
having crossed the ocean, துரிதமான வேகம் கொண்ட கத்ரு தன் சகோதரி வினதையுடன் குதிரைக்கு அருகில் இறங்கினாள்
kadru of swt speed, அவர்கள் இருவரும் வேகமாக ஓடக்கூடிய குதிரைகளில் முதன்மையான அந்தக் குதிரை உச்சைஸ்ரவஸ்
accompanied by vinata, சந்திரக்கதிர்களைப் போல உடல் முழுவதும் வெள்ளையாகவும்
soon alighted near the horse, வாலில் கருமுடிகளுடன் இருந்ததையும் கண்டனர்
they then both beheld that foremost of steeds of great speed, குதிரையின் வாலில் நிறையக் கருமுடிகள இருப்பதைச் சுட்டிக்காட்டிய கத்ரு
with body white as the rays of the moon but having black hairs in the tail, மிகவும் வாட்டமுற்றிருந்த வினதையைத் தனது அடிமையாக்கிக் கொண்டாள்
and observing many black hairs in the tail, இப்படிப் பந்தயத்தில் தோற்று
kadru put vinata, அடிமைத்தனத்திற்குள் தான் புகுந்துவிட்டதை எண்ணி வினதை மிகவும் வருந்தினாள்
who was deeply dejected, அதே வேளையில்
into slavery, தன் விருப்பப்படியே நினைத்த உருவெடுக்க வல்லவனும்
and thus vinata having lost the wager, நினைத்த இடத்திற்குச் செல்ல தகுந்தவனும்
entered into a state of slavery and became exceedingly sorry, நினைத்த அளவிற்கு சக்தியைப் பெருக்கிக் கொள்ளத் தக்கவனும்
in the meantime, காந்தி மிக்கவனும்
when his time came, பலசாலியுமான அந்தப் பெரும்பறவையான கருடன்
burst forth from the egg without the help of his mother, அவனது கருடனது நேரம் வந்தவுடன்
garuda of great splendour, அண்டத்தின் அனைத்து புள்ளிகளையும் பிரகாசப்படுத்திக் கொண்டு
enkindling all the points of the universe, தாயின் உதவியில்லாமல் முட்டையை உடைத்துக் கொண்டு வெளிவந்தான்
that mighty being endued with strength, நெருப்புக் குவியல் போன்ற ஒளியுடன் அவன் பயங்கரமாகப் பிரகாசித்தான்
that bird capable of assuming at will any form, மின்னலைப் போன்ற பார்வையுடனும்
of going at will everywhere, யுக முடிவின் நெருப்புக்கு ஒத்த காந்தியுடனும்
and of calling to his aid at will any measure of energy, இருந்த அந்தப் பறவையானவன் கருடன்
effulgent like a heap of fire, பிறந்தவுடனேயே வேகமாக வளர்ந்து
he shone terribly, உருவத்தைப் பெருக்கிக் கொண்டு வானத்தில் பறந்தான்
of lustre equal to that of the fire at the end of the yuga, மூர்க்கமாகவும்
his eyes were bright like the lightning-flash, மிகுந்த உணர்ச்சியுடனும் கர்ஜனை செய்த அவன் இரண்டாவது கடல் நெருப்பைப் வடவாக்னி போல அச்சந்தரும் வகையில் தோன்றினான்
and soon after birth, அவனைக் கருடனை கண்ட அனைத்துத் தேவர்களும் அச்சமுற்று
that bird grew in size and increasing his body ascended the skies, விபாவசுவிடம் அக்னியிடம் பாதுகாப்பை வேண்டினர்
fierce and vehemently roaring, அவர்கள் தன் ஆசனத்தில் அமர்ந்திருந்த
he looked as terrible as second ocean-fire, பல உருவங்கள் கொண்ட அந்தத் தேவனிடம் அக்னியிடம் பணிந்து
and all the deities seeing him, இந்த வார்த்தைகளைச் சொன்னார்கள்
sought the protection of vibhavasu agni, ஓ அக்னி
and they bowed down to that deity of manold forms seated on his seat and spake unto him these words, உமது உடலை பெருக்காதே
o agni, எம்மை உட்கொண்டு விடுவாயோ? இதோ இந்தப் பெருங்குவியலான தழல்கள் அகலமாகப் பெருகிக் கொண்டே வருகின்றனவே என்றனர்
extend not thy body! wilt thou consume us? lo, அதற்கு அக்னி
this huge heap of thy flames is spreading wide! and agni replied, ஓ அசுரர்களைத் துன்புறுத்துபவர்களே
o, நீங்கள் நினைப்பது போல அல்ல இஃது
ye persecutors of the asuras, இவன் பெரும்பலம் வாய்ந்த கருடன்
it is not as ye imagine, ஒளியில் என்னை ஒத்திருப்பவன்
this is garuda of great strength and equal to me in splendour, பெரும் சக்தி படைத்தவன்
endued with great energy, வினதையின் மகிழ்வைப் பெருக்கப் பிறந்தவன்
and born to promote the joy of vinata, நீங்கள் காணும் பிரகாசமான ஒளிக்குவியல் உங்களுக்குள் இந்த மயக்கத்தை ஏற்படுத்தியிருக்கிறது
even the sight of this heap of effulgence hath caused this delusion in you, இவன் கசியபரின் பெரும்பலம் பொருந்திய மகன்
he is the mighty son of kasyapa, நாகங்களை அழிப்பவன்
the destroyer of the nagas, தேவர்களின் நன்மையில் ஈடுபடுபவன்
engaged in the well-being of the gods, தைத்தியர்களுக்கும்
and the foe of the daityas and the rakshasas, ராட்சசர்களுக்கும் எதிரியானவன்
be not afraid of it in the least, இவனைக் கண்டு சிறிதும் அஞ்சாதீர்கள்
come with me and see, என்னுடன் வந்து பாருங்கள் என்று தேவர்களுக்குச் சொன்னான்
thus addressed, தேவர்கள்
the gods from a distance, கருடனைத் தூரத்தில் இருந்தே பார்த்து
the gods said, முனிவன் நீயே அனைத்து மந்திரங்களையும் அறிந்தவன்
thou art a rishi i, வேள்விகளில் கிடைக்கும் அவிர்பாகத்தில் பெரும்பகுதியை பகிர்பவன் நீயே
one cognisant of all mantras, எப்போதும் பிரகாசிப்பவன் நீயே
share of the largest portion in sacrices, அசைவன
ever resplendent, அசையாதன ஆகியவற்றின் தலைவன் நீயே
the controller along with the rishi wended their way towards garuda and adored him of birds, அனைத்தையும் அழிப்பவன் நீயே
the presiding spirit of the animate and the inanimate universe, அனைத்தையும் படைப்பவன் நீயே
thou art the destroyer of all, ஹிரண்யகர்பன் நீயே
the creator of all, தட்சனாகவும்
thou art the very hiranyagarbha, பிரஜாபதிகளாகவும் அனைத்தையும் படைப்பவன் நீயே
thou art the progenitor of creation in the form of daksha and the other prajapatis, இந்திரன் தேவர்களின் தலைவன் நீயே
thou art indra the king of the gods, குதிரை முகம் கொண்ட விஷ்ணுவான ஹயக்ரீவன் நீயே
thou art hayagriva the steed necked incarnation of vishnu, கணை நீயே திரிபுரத்தை எரித்த மஹாதேவரின் சிவனின் கையில் கணையாக இருந்த விஷ்ணு
thou art the arrow vishnu himself, நான்முகம் படைத்த பத்மஜன் பிரம்மன் நீயே
as he became such in the hands of mahadeva at the burning of tripura, பிராமணன் ஞானமுள்ளவன் நீயே
thou art the lord of the universe, அக்னி நீயே
thou art the mouth of vishnu, பவனன் அண்டதிலுள்ள அனைத்து பொருள்களுக்கும் தலைவன் நீயே
thou art the four-faced padmaja, அறிவு நீயே
thou art the brahmana i, எங்களை மயக்கும் மாயை நீயே
wise, ஊடுருவும் ஆவி நீயே
thou art agni, தேவர்களுக்குத் தேவன் நீயே
pavana, பெரிய உண்மை நீயே
etc, அச்சமற்றவன் நீயே
i, என்றும் மாறுதலில்லாதவன் நீயே
the presiding deity of every object in the universe, குணங்களற்ற நிர்க்குணமான பிரம்மம் நீயே
thou art knowledge, கதிரவனின் சக்தி நீயே
thou art the illusion to which we are all subject, சித்தத்தின் செயல்கள் நீயே
thou art the all-pervading spirit, எங்கள் காப்பாளன் நீயே
thou art the lord of the gods, தெய்வீகங்களின் கடல் நீயே
thou art the great truth, புனிதமானவன் நீயே
thou art fearless, இருளின் அறியாமையின் தன்மைகளற்றவன் நீயே
thou art ever unchanged, உயர்ந்த ஆறு குணங்களின் சொந்தக்காரன் நீயே
thou art brahma without attributes, எங்களால் போட்டிகளில் வெல்லப்படமுடியாதவன் நீயே
thou art the energy of the sun, உன்னிலிருந்தே எல்லாம் உற்பத்தியாயிற்று
thou art the intellectual functions, அற்புதமான செயல்கள் செய்பவன் நீயே
thou art our great protector, இருந்தவை இல்லாதவை எல்லாம் நீயே
thou art the ocean of holiness, தூய அறிவு நீயே
thou art purity, கதிரவன் தன் கதிர்களால் ஒளி தருவது போல
thou art bereft of the attributes of darkness, எங்களுக்குக் காட்சி தருபவன் நீயே
thou art the possessor of the six high attributes, அண்டத்திலுள்ள உயிருள்ளவை
thou art he who cannot be withstood in contest, உயிரற்றவை எல்லாம் நீயே
from thee have emanated all things, சூரியனின் ஒளியை மறைப்பவன் நீயே
thou art of excellent deeds, அனைத்தையும் அழிப்பவன் நீயே
thou art all that hath not been and all that hath been, அழிவது அழியாதது எல்லாமும் நீயே
thou art pure knowledge, மூர்க்கமான கருடன்
thou displayest to us, ஓ ஒளிரும் அக்னியே! கதிரவன் கோபத்தால் உயிரினங்கள் அனைத்தையும் சுட்டெரிப்பதைப் போல
as surya does by his rays, அனைத்தையும் எரிப்பவன் நீயே
this animate and inanimate universe, ஓ பயங்கரமானவனே
thou darkenest, பிரளயத்தில் நெருப்பால் எல்லாம் அழிந்தாலும் அழியாதவன் நீயே
the splendour of surya at every moment, ஓ விண்ணில் உலவும் பலம்பொருந்திய கருடா
and thou art the destroyer of all, எங்கள் பாதுகாப்பை உன்னிடம் வேண்டுகிறோம்
thou art all that is perishable and all that is imperishable, ஓ பறவைகளின் மன்னா! கருடா
o thou resplendent as agni, இயல்புக்கு மீறிய அசாதரணமான சக்தியும்
thou burnest all even as surya in his anger burneth all creatures, நெருப்புக்கு நிகரான காந்தியும் கொண்டு
o terrible one, இருள் அணுகமுடியாத மின்னலைப் போலப் பிரகாசிப்பவன் நீயே
thou resistest even as the fire that destroys everything at the time of the universal dissolution, மேகங்களைத் தொடுபவன் நீயே
o mighty garuda who movest in the skies, காரணமும் காரியமும் நீயே
we seek thy protection, வரங்களைத் தருபவனும்
o lord of birds thy energy is extraordinary, வெல்ல முடியாத வீரத்தைக் கொண்டவனும் நீயே
thy splendour is that of fire, ஓ தேவனே! புடம்போட்ட தங்கம்போல இந்த அண்டமே உன் காந்தியால் வெப்பமடைந்தது
thy brightness is like that of the lightning that no darkness can approach, உன்னைக்கண்ட அச்சத்தால் அங்குமிங்கும் தங்கள் வாகனங்களில் தேவலோகத்தில் பறந்து திரியும் உயர் ஆன்மத் தேவர்களைக் காப்பாயாக
thou reachest the very clouds, ஓ பறவைகளில் சிறந்தவனே! கருடா
and art both the cause and the effect, அனைத்துக்கும் தலைவன் நீயே
the dispenser of boons and invincible in prowess, கருணையுள்ள உயர் ஆன்ம முனிவர் கசியபரின் புதல்வன் நீயே
o lord, அண்டத்தின் மீது கோபங்கொள்ளாமல் கருணை கொள்வாயாக
this whole universe is rendered hot by thy splendour, யாவற்றுக்கும் தலைமையானவன் நீயே
bright as the lustre of heated gold, கோபத்தைத் தணித்து
protect these high-souled gods, எங்களைக் காப்பாற்றுவாயாக
who overcome by thee and terried withal, இடியின் முழக்கம் போன்ற உனது குரலால்
are flying along the heavens in dferent directions on their celestial cars, ஓ பறவையானவனே கருடா
o thou best of birds, அண்டத்தின் பத்துப் புள்ளிகளையும்
thou lord of all, விண்ணையும்
thou art the son of the mercul and high-souled rishi kasyapa, தேவலோகத்தையும்
therefore, பூமியையும்
be not wroth but have mercy on the universe, எங்கள் இதயங்களையும் தொடர்ந்து நடுங்க வைக்கிறாய்
thou art supreme, அக்னியைப் போன்ற உனது இந்த உடலைச் சுருக்குவாயாக
o pacy thy anger and preserve us, அக்னியைப் போன்ற உனது இந்த உடலைச் சுருக்குவாயாக
at thy voice, கோபமடைந்த யமனைப் போன்ற காந்தியுடன் உன்னைப் பார்க்கும்போது
loud as the roar of the thunder, கோபமடைந்த யமனைப் போன்ற காந்தியுடன் உன்னைப் பார்க்கும்போது
the ten points, எங்கள் இதயத்தில் அமைதியை இழந்து நடுங்குகிறோம்
the skies, எங்கள் இதயத்தில் அமைதியை இழந்து நடுங்குகிறோம்
the heavens, ஓ பறவைகளின் தலைவா! கருடா
the earth and our hearts, ஓ பறவைகளின் தலைவா! கருடா
o bird, உன் இரக்கத்தை வேண்டும் எங்களுக்கு உனது கருணையால் நன்மை செய்வாயாக
thou art continuously shaking, உன் இரக்கத்தை வேண்டும் எங்களுக்கு உனது கருணையால் நன்மை செய்வாயாக
o, ஓ சிறப்புமிக்கவனே! கருடா
diminish this thy body resembling agni, ஓ சிறப்புமிக்கவனே! கருடா
at the sight of the splendour resembling that of yama when in wrath, எங்களுக்கு இன்பத்தையும் நற்பேறையும் அளிப்பாயாக என்று வேண்டினர் தேவர்கள்
our hearts lose all equanimity and quake, எங்களுக்கு இன்பத்தையும் நற்பேறையும் அளிப்பாயாக என்று வேண்டினர் தேவர்கள்
o thou lord of birds, இப்படித் தேவர்களாலும்
be propitious to us who solicit thy mercy! o illustrious one, இப்படித் தேவர்களாலும்
bestow on us good fortune and joy, முனிவர்களாலும் போற்றப்பட்ட அழகான இறகுகளைக் கொண்ட அந்தப் பறவையானவன் கருடன்
and that bird of fair feathers, முனிவர்களாலும் போற்றப்பட்ட அழகான இறகுகளைக் கொண்ட அந்தப் பறவையானவன் கருடன்
thus adored by the deities and diverse sections of rishis, தனது சக்தியையும் காந்தியையும் குறைத்துக் கொண்டான் என்றார் சௌதி
reduced his own energy and splendour, தனது சக்தியையும் காந்தியையும் குறைத்துக் கொண்டான் என்றார் சௌதி
sauti said, கதிரவனும் அருணனும்
then hearing of and beholding his own body, சௌதி சொன்னார்
that bird of beautul feathers diminished its size, அனைத்தையும் கேட்டுவிட்டு
and garuda said, அந்த அழகான இறகுகளுடைய பறவையானவன் தனது உடலைக் கண்டு
let no creature be afraid, தன் உருவத்தைச் சுருக்கிக் கொண்டான்
as ye are in a fright at the sight of my terrible form, அந்தப் பறவையான கருடன்
i shall diminish my energy, எவ்வுயிரும் அச்சப்பட வேண்டாம்
sauti continued, எனது பயங்கர உருவைக் கண்டு நீங்கள் அச்சத்திலிருப்பதால்
then that bird capable of going everywhere at will, எனது சக்தியைச் சுருக்கிக்கொள்கிறேன் என்றான்
that ranger of the skies capable of calling to his aid any measure of energy, சௌதி தொடர்ந்தார்
bearing aruna on his back, விருப்பப்பட்ட இடத்திற்குத் தங்குதடையின்றிச் செல்லக்கூடியவனும்
wended from his fathers home and arrived at his mothers side on the other shore of the great ocean, எவ்வளவு சக்தியையும் விருப்பப்பட்ட அளவுக்குப் பெருக்கிக் கொள்ளக்கூடியவனுமான அந்தப் பறவையானவன் கருடன்
and he placed aruna of great splendour in the eastern regions, தனது அண்ணன் அருணனை முதுகில் ஏற்றிக் கொண்டு தனது தந்தையின் கசியபரின் இல்லத்தைத் தொடர்ந்து
just at a time when surya had resolved to burn the worlds with his fierce rays, பெருங்கடலுக்கு அக்கரையில் இருக்கும் தனது அன்னையின் வினதையின் பக்கத்தில் உள்ள கடற்கரையில் வந்து சேர்ந்தான்
saunaka said, கதிரவனோ உலகங்களைத் தனது கொடுங்கதிர்களால் சுட்டெரிக்கத் தீர்மானிக்கும் நேரத்தில் பெரும் காந்திமிக்க அருணனைக் கிழக்குப் பகுதியில் அமர்த்தியிருந்தான்
when did the revered surya resolve at the time to burn the worlds? what wrong was done to him by the gods that provoked his ire?, சௌனகர் சொன்னார்
sauti said, போற்றத்தக்க கதிரவன் எப்போது உலகங்களை எரிக்கத் தீர்மானித்தான்? அப்படி அவன் கோபத்தைத் தூண்டி விடும்படியாகத் தேவர்கள் அவனுக்கு என்ன தவறு செய்தார்கள்?[]
o sinless one, [] ருரு கேட்பதாகவும்
when rahu was drinking nectar among the gods at the time of the churning of the ocean he was pointed out to the gods by surya and soma, பிரமதி சொல்வதாகவும் மன்மதநாததத்தரின் பதிப்பில் உள்ளது
and from that time he conceived an enmity towards those deities, கும்பகோணம் பதிப்பில் கங்குலியில் உள்ளதைப் போலவே இருக்கிறது
and upon this rahu sought to devour his afflictor surya, பிபேக் திப்ராயின் பதிப்பில் இந்தப் பகுதியே இல்லை
became wroth, சௌதி
and thought, ஓ பாவங்களற்றவரே
oh, அமுதத்துக்காகப் பாற்கடலைக் கடையும்போது ராகு தேவர்களின் பக்கம் நின்று அமுதத்தைப் பருகியதை
this enmity of rahu towards me hath sprung from my desire of benefiting the gods, சூரியனும் சந்திரனும் காட்டிக் கொடுத்தனர்
and this dire consequence i alone have to sustain, அப்போதிருந்தே அவன் ராகு அந்தத் தேவர்கள் மீது பகை கொண்டான்
indeed, அதுமுதல் ராகு தன் எதிரியை சூரியனை விழுங்குவதால் கோபங்கொண்ட அவன் சூரியன்
at this pass help i obtain not, ‘இந்த ராகுவின் பகையானது தேவர்களுக்கு நன்மை செய்யவேண்டும் என்ற என் ஆவலிலிருந்தே தொடங்கியது
and before the very eyes of the denizens of heaven i am going to be devoured and they brook it quietly, அதன் பலனை நான் மட்டுமே அனுபவிக்கிறேன்
therefore, உண்மையில் இத்தருணத்தில் எனக்கு எந்த உதவியும் கிட்டவில்லை
for the destruction of the worlds must i strive, அனைத்து சொர்க்கவாசிகளின் முன்னிலையிலேயே நான் விழுங்கப்படப்போகிறேன்
and with this resolution he went to the mountains of the west, அதை அவர்களும் அமைதியாக அனுமதிக்கப்போகின்றனர்
and from that place he began to radiate his heat around for the destruction of the world, எனவே
and then the great rishis, நான் உலகங்களை அழிக்கப் போகிறேன்’ என்று உறுதி கொண்ட கதிரவன்
approaching the gods, மேற்கு மலைகளுக்குச் சென்றான்
spake unto them, அந்த இடத்திலிருந்தே உலகத்தை அழிக்கத் தனது வெப்பத்தை அனைத்து இடங்களிலும் வெளிப்படுத்தினான்
lo, தேவர்களிடம் சென்ற பெரும் முனிவர்கள்
in the middle of the night springeth a great heat striking terror into every heart, இதோ
and destructive of the three worlds, நடு இரவில் ஒவ்வொரு இதயத்தையும் அச்சமூட்டியபடியும்
then the gods, மூன்று உலகங்களையும் அழிக்கும்படியும் இந்தப் பெரும் வெப்பம் உண்டாகிறது என்றனர்
accompanied by the rishis, தேவர்கள்
wended to the grandsire, முனிவர்களையும் அழைத்துக் கொண்டு பெருந்தகப்பனிடம் சென்று இன்று ஏன் இந்த வெப்பம் அதிகமாகி அச்சமூட்டுகிறது? கதிரவன் இன்னும் உதிக்கவில்லை
and said unto him, எனினும் உலக அழிவு தெளிவாகத் தெரிகிறது
o what is this great heat today that causeth such panic? surya hath not yet risen, ஓ தலைவா பிரம்மனே
still the destruction of the world is obvious, அவன் சூரியன் உதித்தால் என்ன நடக்கும்? என்றனர்
o lord, அதற்குப் பெருந்தகப்பன் பிரம்மன்
what will happen when he doth rise? the grandsire replied, உண்மையாக இன்று கதிரவன் உலக அழிவுக்காகவே உதிக்கத் தயாராகிறான்
indeed, எப்போது அவன் காட்சி தருவானோ அப்போதே அனைத்தையும் சாம்பற்குவியலாக எரித்துவிடுவான்
surya is prepared to rise today for the destruction of the world, ஏற்கனவே அதைத் திருத்த நான் பிரம்மன் நடவடிக்கை எடுத்துவிட்டேன்
as soon as he will appear he will burn everything into a heap of ashes, கசியபரின் புத்திசாலி மகனான அருணனை அனைவரும் அறிவார்கள்
by me, தனது பெருத்த உடலுடன்
however, பெரியகாந்தியுடனும் கூடிய அவன் அருணன்
hath the remedy been provided beforehand, கதிரவன் முன்பு நின்று
the intelligent son of kasyapa is known to all by the name of aruna, அவனுக்குச் தேரோட்டியாக இருந்து
he is huge of body and of great splendour, முன்னவனின் சூரியனின் சக்தியையெல்லாம் எடுத்துவிடுவான்
he shall stay in front of surya, இந்த நடவடிக்கை உலகத்தின் நன்மையையும்
doing the duty of his charioteer and taking away all the energy of the former, முனிவர்கள் மற்றும் தேவலோகவாசிகளின் நன்மையையும் உறுதிசெய்யும்
and this will ensure the welfare of the worlds, ” என்றான்
of the rishis, சௌதி தொடர்ந்தார்
and of the dwellers in heaven, அருணன்
sauti continued, பெருந்தகப்பனின் பிரம்மனின் கட்டளைப்படி
aruna, என்னென்ன செய்யவேண்டுமோ அவையனைத்தையும் செய்தான்
at the behest of the grandsire, அருணனின் உடலால் திரையிடப்பட்டுக் கதிரவன் உதித்தான்
did all that he was ordered to do, அருணனின் உடலால் திரையிடப்பட்டுக் கதிரவன் உதித்தான்
and surya rose veiled by arunas person, நான் சௌதி இதுவரை கதிரவன் ஏன் கோபங்கொண்டான்? கருடனின் தமையனான அருணன் எப்படி அவனது தேரோட்டியாக நியமிக்கப்பட்டான்? என்பதைச் சொன்னேன்
i have told thee now why surya was in wrath, நான் சௌதி இதுவரை கதிரவன் ஏன் கோபங்கொண்டான்? கருடனின் தமையனான அருணன் எப்படி அவனது தேரோட்டியாக நியமிக்கப்பட்டான்? என்பதைச் சொன்னேன்
and how aruna, சிறிது நேரத்திற்கு முன்பு நீங்கள் நைமிசாரண்யத்தில் வருட வேள்வியில் பங்கெடுத்த ஆன்மிகவாதிகளும்
the brother of garuda, சிறிது நேரத்திற்கு முன்பு நீங்கள் நைமிசாரண்யத்தில் வருட வேள்வியில் பங்கெடுத்த ஆன்மிகவாதிகளும்
was appointed as his charioteer, சௌனகரும் கேட்ட அடுத்தக் கேள்விக்கான விளக்கத்தை அடுத்துக் கேளுங்கள் என்றார் சௌதி
hear next of that other question asked by thee a little while ago, சௌனகரும் கேட்ட அடுத்தக் கேள்விக்கான விளக்கத்தை அடுத்துக் கேளுங்கள் என்றார் சௌதி
sauti said, சௌதி சொன்னார்
